"Test matches, career batting records",,,,,,,,,,
,,,,,,,,,,
Player,Span,Mat,Inns,NO,Runs,HS,Ave,Hundred,Fifty,Duck
IR Redpath (Australia),1964-1976,66,120,11,4737,171,43.45,8,31,9
JC Reedman (Australia),1894-1894,1,2,0,21,17,10.5,0,0,0
BA Reid (Australia),1985-1992,27,34,14,93,13,4.65,0,0,6
PR Reiffel (Australia),1992-1998,35,50,14,955,79*,26.52,0,6,5
DA Renneberg (Australia),1966-1968,8,13,7,22,9,3.66,0,0,3
MT Renshaw (Australia),2016-2018,11,20,1,636,184,33.47,1,3,0
AJ Richardson (Australia),1924-1926,9,13,0,403,100,31,1,2,1
VY Richardson (Australia),1924-1936,19,30,0,706,138,23.53,1,1,5
KE Rigg (Australia),1931-1937,8,12,0,401,127,33.41,1,1,0
DT Ring (Australia),1948-1953,13,21,2,426,67,22.42,0,4,2
GM Ritchie (Australia),1982-1987,30,53,5,1690,146,35.2,3,7,1
SJ Rixon (Australia),1977-1985,13,24,3,394,54,18.76,0,2,4
GR Robertson (Australia),1998-1998,4,7,0,140,57,20,0,1,2
WR Robertson (Australia),1885-1885,1,2,0,2,2,1,0,0,1
RD Robinson (Australia),1977-1977,3,6,0,100,34,16.66,0,0,0
RH Robinson (Australia),1936-1936,1,2,0,5,3,2.5,0,0,0
CJL Rogers (Australia),2008-2015,25,48,1,2015,173,42.87,5,14,1
GF Rorke (Australia),1959-1959,4,4,2,9,7,4.5,0,0,1
JW Rutherford (Australia),1956-1956,1,1,0,30,30,30,0,0,0
J Ryder (Australia),1920-1929,20,32,5,1394,201*,51.62,3,9,1
