Mat,Inns,NO,Runs,HS,Ave,100,50,0
1,2,1,12,7*,12,0,0,0
1,2,0,10,9,5,0,0,0
4,7,2,8,5,1.6,0,0,3
3,6,0,7,4,1.16,0,0,3
1,2,1,6,4,6,0,0,0
1,2,0,4,3,2,0,0,0
1,2,1,4,3,4,0,0,0
1,1,1,0,0*,-,0,0,0
1,2,1,67,37,67,0,0,0
1,2,0,40,37,20,0,0,0
1,2,1,37,36*,37,0,0,0
1,2,0,31,31,15.5,0,0,1
1,2,0,27,22,13.5,0,0,0
1,2,0,24,12,12,0,0,0
1,1,1,20,20*,-,0,0,0
1,2,0,17,17,8.5,0,0,1
1,2,1,16,16*,16,0,0,1
1,1,0,14,14,14,0,0,0
1,2,0,13,11,6.5,0,0,0
1,2,0,9,8,4.5,0,0,0
1,1,0,8,8,8,0,0,0
1,2,0,8,4,4,0,0,0
1,2,0,8,8,4,0,0,1
1,1,0,7,7,7,0,0,0
1,2,0,6,6,3,0,0,1
1,2,0,5,5,2.5,0,0,1
1,2,0,4,3,2,0,0,0
1,2,1,4,3,4,0,0,0
1,1,0,3,3,3,0,0,0
1,1,0,0,0,0,0,0,1
5,10,1,423,102,47,1,3,0
5,10,0,222,117,22.2,1,0,0
3,6,0,165,66,27.5,0,1,0
5,10,0,161,49,16.1,0,0,0
5,10,0,144,53,14.4,0,1,0
5,10,0,137,29,13.7,0,0,2
4,7,3,133,55*,33.25,0,1,1
2,4,0,111,73,27.75,0,1,0
3,6,1,109,39,21.8,0,0,0
4,8,1,103,61*,14.71,0,1,3
5,9,1,88,32,11,0,0,0
5,9,1,86,41,10.75,0,0,1
2,4,1,69,26,23,0,0,0
4,8,1,67,26,9.57,0,0,0
5,10,0,66,17,6.6,0,0,1
3,6,1,55,28,11,0,0,2
1,2,0,49,35,24.5,0,0,0
2,4,0,47,22,11.75,0,0,0
3,6,1,47,28,9.4,0,0,2
3,6,0,41,18,6.83,0,0,0
1,2,0,38,26,19,0,0,0
5,10,1,38,15*,4.22,0,0,3
1,2,0,33,26,16.5,0,0,0
1,2,1,29,22,29,0,0,0
2,4,0,26,16,6.5,0,0,0
2,4,0,23,10,5.75,0,0,0
2,4,0,22,9,5.5,0,0,1
1,2,1,18,15,18,0,0,0
4,8,5,18,9,6,0,0,1
3,6,2,17,7,4.25,0,0,2
1,2,0,16,13,8,0,0,0
2,4,0,16,10,4,0,0,1
1,2,0,15,10,7.5,0,0,0
1,2,0,12,9,6,0,0,0
1,2,0,12,10,6,0,0,0
1,2,0,7,7,3.5,0,0,1
3,6,0,6,3,1,0,0,4
1,2,0,5,5,2.5,0,0,1
1,2,0,3,2,1.5,0,0,0
1,2,0,2,2,1,0,0,1
1,2,0,2,1,1,0,0,0
6,12,0,296,93,24.66,0,2,2
7,14,1,295,57,22.69,0,1,0
7,14,0,286,63,20.42,0,1,3
7,14,0,270,65,19.28,0,2,0
7,14,0,179,36,12.78,0,0,2
4,7,2,170,62,34,0,2,0
9,17,2,155,28,10.33,0,0,3
7,14,2,150,36,12.5,0,0,1
5,10,0,144,39,14.4,0,0,2
7,13,1,140,41,11.66,0,0,0
7,14,0,137,44,9.78,0,0,1
6,12,0,131,26,10.91,0,0,0
7,14,0,123,34,8.78,0,0,3
6,12,0,121,50,10.08,0,1,2
6,11,1,115,37,11.5,0,0,1
6,12,3,108,39*,12,0,0,2
7,14,2,107,30*,8.91,0,0,4
7,14,1,104,42,8,0,0,2
4,8,1,103,36,14.71,0,0,0
4,8,0,81,51,10.12,0,1,1
4,8,0,68,26,8.5,0,0,1
3,6,1,64,20*,12.8,0,0,1
4,8,0,64,28,8,0,0,2
2,4,0,60,43,15,0,0,0
2,4,0,55,39,13.75,0,0,1
2,4,0,50,36,12.5,0,0,0
5,10,1,50,30,5.55,0,0,3
3,5,0,48,23,9.6,0,0,1
3,5,0,46,13,9.2,0,0,0
3,6,0,46,13,7.66,0,0,0
5,8,0,45,14,5.62,0,0,0
2,4,0,41,19,10.25,0,0,1
1,2,0,39,26,19.5,0,0,0
3,6,0,38,22,6.33,0,0,3
6,12,6,38,8*,6.33,0,0,2
2,4,0,37,21,9.25,0,0,1
4,8,1,36,18*,5.14,0,0,2
1,2,0,34,22,17,0,0,0
5,9,2,31,20,4.42,0,0,4
3,6,1,30,13,6,0,0,2
4,8,3,30,13,6,0,0,2
4,8,0,29,9,3.62,0,0,2
4,8,0,27,12,3.37,0,0,0
4,8,2,25,9*,4.16,0,0,0
1,1,0,23,23,23,0,0,0
1,2,1,23,18*,23,0,0,0
3,6,3,21,9,7,0,0,0
1,2,1,19,17,19,0,0,0
4,8,3,19,5*,3.8,0,0,0
1,2,0,18,18,9,0,0,1
10,17,1,381,59,23.81,0,3,0
11,19,2,293,93*,17.23,0,1,3
9,15,2,270,46,20.76,0,0,0
10,18,1,265,78,15.58,0,1,2
8,16,1,217,48,14.46,0,0,2
9,14,3,193,41*,17.54,0,0,3
9,16,0,192,37,12,0,0,3
9,15,0,179,39,11.93,0,0,1
11,17,2,144,44,9.6,0,0,3
8,16,1,135,29,9,0,0,2
8,14,0,127,22,9.07,0,0,0
7,14,2,123,31*,10.25,0,0,2
8,16,0,120,20,7.5,0,0,5
6,12,0,109,28,9.08,0,0,1
9,16,0,94,22,5.87,0,0,2
7,13,1,92,35,7.66,0,0,2
5,10,0,84,20,8.4,0,0,0
8,16,5,82,15,7.45,0,0,2
5,10,1,76,19,8.44,0,0,3
5,9,2,73,23*,10.42,0,0,3
6,10,0,72,37,7.2,0,0,3
3,5,0,61,24,12.2,0,0,1
3,5,1,53,40,13.25,0,0,1
7,13,1,53,10,4.41,0,0,3
3,5,1,50,22,12.5,0,0,0
3,6,2,50,28,12.5,0,0,1
5,8,2,50,14,8.33,0,0,1
3,6,1,49,17,9.8,0,0,1
4,8,0,46,22,5.75,0,0,1
9,16,5,37,11,3.36,0,0,5
2,3,0,36,29,12,0,0,1
4,8,2,32,12,5.33,0,0,3
2,3,2,20,16*,20,0,0,1
1,2,0,19,19,9.5,0,0,1
2,4,0,17,8,4.25,0,0,1
3,6,0,17,6,2.83,0,0,1
1,2,2,14,9*,-,0,0,0
1,2,0,12,9,6,0,0,0
2,3,1,10,6,5,0,0,0
2,4,0,6,6,1.5,0,0,3
1,2,0,5,3,2.5,0,0,0
2,3,0,5,5,1.66,0,0,2
1,2,0,4,4,2,0,0,1
1,2,0,4,4,2,0,0,1
1,1,0,2,2,2,0,0,0
1,2,0,2,1,1,0,0,0
1,2,0,2,2,1,0,0,1
1,2,0,2,1,1,0,0,0
9,16,1,320,80,21.33,0,1,2
8,15,2,306,94,23.53,0,1,3
10,20,1,261,37,13.73,0,0,3
8,14,0,228,67,16.28,0,1,3
8,14,1,224,59,17.23,0,1,1
8,15,1,219,48,15.64,0,0,1
8,14,0,208,50,14.85,0,1,4
10,20,0,178,45,8.9,0,0,2
8,14,0,176,48,12.57,0,0,2
8,16,1,156,39,10.4,0,0,5
4,7,1,155,59,25.83,0,1,0
10,19,0,144,38,7.57,0,0,6
2,3,0,140,116,46.66,1,0,0
6,10,1,137,38,15.22,0,0,0
10,19,2,137,27,8.05,0,0,3
4,7,1,130,54*,21.66,0,1,1
7,12,1,127,30,11.54,0,0,0
10,19,2,124,35,7.29,0,0,5
10,18,5,122,28,9.38,0,0,2
10,20,4,113,20,7.06,0,0,2
8,15,1,112,46,8,0,0,4
8,16,0,105,24,6.56,0,0,3
7,14,2,89,43*,7.41,0,0,4
3,6,1,83,38*,16.6,0,0,1
3,4,0,81,34,20.25,0,0,0
4,7,0,79,32,11.28,0,0,1
7,14,1,73,23,5.61,0,0,2
5,8,2,71,28,11.83,0,0,1
4,8,1,70,28,10,0,0,1
1,1,0,61,61,61,0,1,0
3,6,1,57,39,11.4,0,0,2
7,14,2,57,17,4.75,0,0,3
1,2,0,50,50,25,0,1,0
3,5,0,50,29,10,0,0,0
2,4,0,49,24,12.25,0,0,1
3,5,1,49,24*,12.25,0,0,0
1,2,0,47,27,23.5,0,0,0
2,4,0,47,16,11.75,0,0,0
4,8,0,44,24,5.5,0,0,1
2,4,1,42,33,14,0,0,0
2,4,1,42,33,14,0,0,0
1,2,0,40,39,20,0,0,0
1,2,0,34,26,17,0,0,0
1,2,0,34,22,17,0,0,0
2,3,0,33,17,11,0,0,0
1,2,0,31,30,15.5,0,0,0
2,4,0,31,21,7.75,0,0,1
2,4,0,30,13,7.5,0,0,1
2,3,0,29,27,9.66,0,0,1
2,4,1,26,15,8.66,0,0,0
8,15,0,316,60,21.06,0,2,2
8,16,0,257,55,16.06,0,1,3
